题名,作者,出版社
SPSS for Windows从入门到精通,卢纹岱 编著,电子工业出版社
Vladimir Putin,"斯特里格斯 Si Te Li Ge Si (Streissguth, Tom) 著",中国对外翻译出版社
百慕大未解之谜,欧阳秀林 ou yang xiu lin 编著,时事出版社
绑架游戏,"东野圭吾 dong ye gui wu (ひがしの けぃご), 1958- 著",上海译文出版社
彼得·林奇的成功投资,"林奇 lin qi (Lynch, Peter), 1944-  著",机械工业出版社
邊城,"沈从文, Shen Congwen 1902-1988 著",岳麓书社出版社
博弈论与信息经济学,"张维迎, Zhang Wei Ying 1959-  著",上海人民出版社;"上海三联书店"
不能承受的生命之轻,"昆德拉 Kun De La (Kundera, Milan), 1929- 著",上海译文出版社
不确定规划及应用,刘宝碇 liu bao ding 著,清华大学出版社
材料力学,刘鸿文 Liu Hong Wen 主编,高等敎育出版社
菜根谭,"洪应明, hong ying ming 明代 原著",京华出版社
菜根谭,洪应明 hong ying ming 著,崇文书局
楚留香传奇,"古龙, gu long 1938-1985 著",当代世界出版社
传热学,章熙民 zhang xi min 编著,中国建筑工业出版社
大学物理教学同步练习题及详解,王济民 Wang Ji Min 编,西北工业大学出版社
大学物理学习指导,谢兴盛 xie xing sheng 主编,电子工业出版社
大学英语四六级写作特训,新东方四六级命题研究组 Xin Dong Fang Si Liu Ji Ming Ti Yan Jiu Zu 编著,群言出版社
代数学引论,"科斯特里金 Kesitelijin (Кострикин, Александр Иванович?), 1929-2000 著",高等敎育出版社
弹性力学与张量分析,郭日修 Guo Ri Xiu 编著,高等教育出版社
当下的力量,"托勒 Tuo Le (Tolle, Eckhart) 著",中信出版社
等离子体技术与应用,许根慧 Xu Gen Hui 编著,化学工业出版社
等离子体理论基础,"胡希伟, hu xi wei 1941-  编著",北京大学出版社
笛卡尔思辨哲学,"笛卡尔, Di Ka Er R. (Descartes, Rene), 1596-1650 著",九州出版社
电磁学,末田正 Mo Tian Zheng 编著,科学出版社
电化学阻抗谱导论,曹楚南 Cao Chu Nan 著,科学出版社
电力电子系统建模及控制,徐德鸿 编著 Xu De Hong,机械工业出版社
电脑入门实用宝典,华师傅资讯 hua shi fu zi xun 编著,中国铁道出版社
电子技术(电工学II)学习指导典型题解,王建华 wang jian hua (电工学) 编著,西安交通大学出版社
法语,马晓宏 ma xiao hong 编著,外语敎学与硏究出版社
复变函数 (西交大第四版) 积分变换 (东南大学第四版)全程导学及习题全解,靳红 Jin Hong 主编,中国时代经济出版社
傅雷家书,傅敏 fu min 编,天津社会科学院出版社
改变心理学的40项研究,"霍克, huo ke R. H. (Hock, Roger R.) 著",中国轻工业出版社
概率论与数理统计疑难点讲析与习题精解,余长安 yu chang an 编著,武汉大学出版社
高等数学,龚冬保 gong dong bao 编,西安交通大学出版社
高等数学辅导,陈文灯 chen wen deng 主编,世界图书出版公司北京公司
高等数学全程导学,刘后邘 liu hou yu 编著,湖南科学技术出版社
高等数学学习指导与习题解析,黄光谷 huang guang yu 编,华中科技大学出版社
高功率脉冲技术,刘锡三 Liu Xi San 编著,国防工业出版社
高级宏观经济学,"罗默, luo mo D. (Romer, David) 著",上海财经大学出版社
高聚物结构、性能与测试,焦剑 jiao jian 主编,化学工业出版社材料科学与工程出版中心
鸽群中的猫,"克里斯蒂 (Christie, Agatha), 1890-1976 著 ke li si di",人民文学出版社
公司理财,"罗斯 luo si (Ross, Stephen A.) 著",机械工业出版社
固体物理,韦丹 wei dan 著,清华大学出版社
固体物理基础,吴代鸣 Wu Dai Ming 著,高等敎育出版社
光学,,南京大学出版社
鬼谷子详解,"鬼谷子, gui gu zi 原著",岳麓书社
红玫瑰与白玫瑰,"张爱玲, Zhang Ai Ling 1920-1995 著",北京十月文艺出版社
黄金时代,王小波 wang xiao bo 著,上海锦绣文章出版社
活着,"余华, Yu Hua 1960- 著 CAL  n2004017431# jt0yjt0y ec0yec0y",作家出版社
机器学习导论,"阿培丁 a pei ding (Alpaydin, Ethem) 著",机械工业出版社
机器学习导论,"阿培丁 a pei ding (Alpaydin, Ethem) 著",机械工业出版社
基于MATLAB 7.x的系统分析与设计,楼顺天 lou shun tian 编著,西安电子科技大学出版社
计量经济学软件,"于俊年, yu jun nian 1964- 编著",对外经济贸易大学出版社
简爱,"勃朗特 bo lang te (Bronte, Charlotte), 1816-1855 著",世界图书出版公司
建筑语汇,"怀特, Huai Te 爱德华·T. 著",大连理工大学出版社
剑桥插图天文学史,"霍斯金, huo si jin M. (Hoskin, Michael) 主编",山东画报出版社
结构方程模型导论,李健宁 li jian ning 著,安徽大学出版社
金融学,李成 Li Cheng 主编,西安交通大学出版社
精通Verilog HDL语言编程,刘波 Liu Bo 编著,电子工业出版社
决不找借口,"瑞菲柏雷, Rui Fei Bai Lei J. (Rifenbary, Jay) 著",金城出版社
开关电源的原理与设计,张占松 Zhang Zhan Song 编著,电子工业出版社
口琴基本教程,李蓝 li la 编著,花城出版社
理论力学典型题解析与实战模拟,刘新建 liu xin jian 主编,国防科技大学出版社
理论力学重点难点及典型题精解,周纪卿 Zhou Ji Qing 编著,西安交通大学出版社
理想国,"柏拉图 Bo la tu (Plato), 前427-前347 著",北京大学出版社
力学,朗道 lang dao 列夫?达维多维奇 1908-1968 著,高等敎育出版社
历年大学英语六级考试真题精析,高含菊 Gao Han Ju 主编,中国对外翻译出版公司
路遙文集,"路遙, lu yao 1949-1992 著",人民文学出版社
洛丽塔,"纳博科夫 na bo ke fu (Nabokov, Vladimir) 著",上海译文出版社
模态分析理论与试验,"埃朗,  ai Lang W. (Heylen, Ward) 著",北京理工大学出版社
谋杀启事,"克里斯蒂 Ke Li Si Di (Christie, Agatha), 1890-1976 著",人民文学出版社
"男人来自火星, 女人来自金星",江涛 jiang tao 主编,机械工业出版社
南京大屠杀始末采访录,本多胜一 Ben Duo Sheng Yi 著,北岳文艺出版社
排队论,唐应辉 tang ying hui 著,科学出版社
啤酒谋杀案,"克里斯蒂, Ke Li Si Di (Christie, Agatha), 1890-1976 著",人民文学出版社
平凡的世界,"路遙, lu yao 1949-1992 著",人民文学出版社
汽轮机与燃气轮机原理及应用,黄庆宏 huang qing hong 主编,东南大学出版社
人工智能原理与方法,王永庆 wang yong qing 著,西安交通大学出版社
人脉存折,何耀琴 he yao qin 编著,中国纺织出版社
人生,"路遥, lu yao 1949-1992 著",北京十月文艺出版社
三国演义,"罗贯中, luo guan zhong 1330-1400 著",人民文学出版社
丧家狗,"李零, li ling 1948- 著",山西人民出版社
莎士比亚经典悲剧,"莎士比亚, sha shi bi ya (Shakespare, William) 1564-1616 著",京华出版社
少年维特之烦恼,"歌德 ge de (Goethe, Johann Wolfgang), 1749-1832 著",中国国际广播出版社
十天突破雅思口语,慎小嶷 shen xiao yi 编著,机械工业出版社
书剑恩仇录,"金庸, Jin Yong 1924- 著 CAL  n2004273360# jt0yjt0y ec0yec0y",广州出版社;"花城出版社"
数据结构,严蔚敏 yan wei min 编著,清华大学出版社
数据挖掘导论,"陈封能 chen feng neng (Tan, Pang-Ning) 著",人民邮电出版社
数据挖掘导论,"陈封能 chen feng neng (Tan, Pang-Ning) 著",人民邮电出版社
数学分析习题集题解,"吉米多维奇 ji mi duo wei qi (Демидович, Б. П.) 著",山东科学技术出版社
数学规划,黄红选 huang hong xuan 编著,清华大学出版社
数学建模,"乔达诺 Qiao Da Nuo (Giordano, Frank R.) 著",机械工业出版社
数学实验,李继成 li ji cheng 主编,西安交通大学出版社
数值分析,李庆扬 Li Qing Yang 编,清华大学出版社;"施普林格出版社"
数字电子技术要点与解题,张锡赓 Zhang Xi Geng 编著,西安交通大学出版社
素朴集合论,刘壮虎 Liu Zhuang Hu 著,北京大学出版社
溯源探幽,"冯端, Feng Duan 1923- 著",科学出版社
钛与钛合金,"莱茵斯, Lai Yin Si C. (Leyens, C.) 编",化学工业出版社
微机原理与接口技术要点与解题,马瑞芳 ma rui fang 编著,西安交通大学出版社
武则天正传,"林语堂, lin yu tang 1895-1976 著",现代敎育出版社
物理定律的本性,"范曼, fan man R. P. (Feynman, Richard Phillips), 1918-1988 著",湖南科学技术出版社
物理学难题集萃,舒幼生 shu you sheng 著,高等敎育出版社
狭义与广义相对论浅说,"爱因斯坦 Aiyinsitan (Einstein, Albert), 1879-1955 著",北京大学出版社
线性代数要点与解题,魏战线 wei zhan xian 编著,西安交通大学出版社
相约星期二,"阿尔博姆 a er bo mu (Albom, Mitch), 1959-  著",上海译文出版社
小波分析及其工程应用,杨建国 Yang Jian Guo 著,机械工业出版社
肖申克的救赎,"金 jin (King, Stephen), 1947-  著",人民文学出版社
新型PID控制及其应用,陶永华 tao yong hua 主编,机械工业出版社
一个月学中医基础,孙理军 sun li jun 编著,人民军医出版社
一九八四,"奥韦尔 Ao Wei Er (Orwell, George), 1903-1950 著",上海译文出版社
一口气读完日本史,孙秀玲 Sun Xiu Ling 著,京华出版社
遗传算法与工程优化,"玄光男 xuan guang nan (Gen, Mitsuo) 著",清华大学出版社
遗传算法原理及应用,周明 zhou ming 编著,国防工业出版社
有限元方法,"靑克维奇 qing ke wei qi (Zienkiewicz, O. C.) 著",清华大学出版社
有限元分析与ANSYS APDL编程及高级应用,龚曙光 Gong Shu Guang 编著,机械工业出版社
月亮与六便士,"毛姆 Maomu (Maugham, William Somerset), 1874-1965 著 CAL  n2004366482# jt0yjt0y ec0yec0y",上海译文出版社
支持向量机,邓乃扬 Deng Nai Yang 著,科学出版社
制冷与空调装置,袁秀玲 Yuan Xiu Ling 主编,西安交通大学出版社
周易六十四卦浅解,"汪忠长, Wang Zhong Chang 1914- 著",当代世界出版社
资治通鉴,"司马光, si ma guang 1019-1086 著",北岳文艺出版社
自动控制原理习题解析,"胡寿松, hu shou song 1937-  主编",科学出版社
自动控制原理学习指导与题解指南,张苏英 Zhang Su Ying 主编,国防工业出版社
罪与罚,"陀思妥耶夫斯基 Tuosituoyefusiji (Достоевский, Фёдор Михайлович), 1821-1881 著 CAL  n2004390834#",人民文学出版社
,"Billinton, Roy.",
1Q84,村上春树 Cun Shang Chun Shu 1949-  著,南海出版社
7S倍速学习法,高效能学习研究机构 Gao Xiao Neng Xue Xi Yan Jiu Ji Gou 著,中国民航出版社
ANSYS 11.0有限元分析入门与提高,胡国良 Hu Guo Liang 编著,国防工业出版社
ANSYS10.0/LS-DYNA非线性有限元分析实例指导教程,何涛 he tao 编著,机械工业出版社
ANSYS10.0/LS-DYNA非线性有限元分析实例指导教程,何涛 he tao 编著,机械工业出版社
C++面向对象程序设计,李春葆 li chun bao 编著,清华大学出版社
C形包围,"戴旭, Dai Xu 1963-  著",文汇出版社
C语言入门经典,"霍顿 huo dun (Horton, Ivor) 著",清华大学出版社
C语言详解,"汉利 han li (Hanly, Jeri R.) 著",人民邮电出版社
Fortran 95程序设计,白云 Bai Yun 编著,清华大学出版社
FORTRAN完全自学手册,陈科 chen ke 编著,机械工业出版社
Java程序设计语言,"阿诺德 a nuo de (Arnold, ken), 1958-  著",人民邮电出版社
LabVIEW 8.2.1与DAQ数据采集,龙华伟 long hua wei 编著,清华大学出版社
LabVIEW宝典,陈树学 chen shu xue 编著,电子工业出版社
LabVIEW程序设计教程,江建军 jiang jian jun 编著;"刘继光 liu ji guang 编著",电子工业出版社
LabVIEW虚拟仪器数据采集与串口通信测控应用实战,李江全 li jiang quan (教授) 编著,人民邮电出版社
LC滤波器设计与制作,森荣二 sen rong er 著,科学出版社
MATLAB 2007科学计算与工程分析,"徐瑞, xu rui 1962-  编著",科学出版社
MATLAB 7.X程序设计,王建卫 wang jian wei 编著,中国水利水电出版社
MATLAB 7基础教程,"帕姆 pa mu (Palm, William J.) 著",清华大学出版社
MATLAB 7基础教程,"帕姆 pa mu (Palm, William J.) 著",清华大学出版社
MATLAB高效编程技巧与应用,吴鹏 wu peng 编著,北京航空航天大学出版社
MATLAB数值分析与应用,宋叶志 song ye zhi 编著,机械工业出版社
MATLAB语言常用算法程序集,龚纯 gong chun 编著,电子工业出版社
MATLAB原理与工程应用,"马格雷伯, Ma Ge Lei Bo E. (Magrab, Edward B.) 著",电子工业出版社
MSP430单片机常用模块与综合系统实例精讲,秦龙 qin long 编著,电子工业出版社
Pride and prejudice,"奥斯丁, Ao Shi Ding (Austen, Jane) 著",上海外语敎育出版社
PSpice电路原理与实现,李永平 li yong ping 主编,国防工业出版社
Python核心编程,"陈仲才 Chen Zhongcai (Chun, Wesley J.) 著 CAL  n2004506950# jt0yjt0y ec0yec0y",人民邮电出版社
Verilog HDL入门,"巴斯克 ba si ke (Bhasker, J.) 著",北京航空航天大学出版社
Verilog HDL与数字电路设计,王冠 wang guan 编著,机械工业出版社
X射线衍射分析原理与应用,刘粤惠 liu yue hui 编著,化学工业出版社
博弈与信息,"拉斯缪森, la si mou sen E. (Rasmusen, Eric), 1958- 著",北京大学出版社;"生活?读书?新知三联书店"
布谷鸟的蛋是谁的,"东野圭吾, dong ye gui wu 1958-  著",新星出版社
常微分方程教程,丁同仁 DING TONG REN 编,高等教育出版社
超爆魔鬼经济学,"莱维特 lai wei te (Levitt, Steven D.) 著",中信出版社
初等数论,"潘承洞, Pan Chengdong 1934- 著 CAL  n2004160407# jt0yjt0y ec0yec0y",北京大学出版社
传染病动力学的数学建模与研究,马知恩 Ma Zhi En 著,科学出版社
传热学,王秋旺 wang qiu wang 编著,西安交通大学出版社
大学基础物理学习题精解,张志敏 Zhang Zhi Min 主编,北京理工大学出版社
大学算法教程,"约翰逊鲍 yue han xun bao (Johnsonbaugh, Richard), 1941-  著",清华大学出版社
大学物理,陈治 chen zhi 编著,清华大学出版社
大学物理,陈治 chen zhi 编著,清华大学出版社
大学物理学习指导,袁玉珍 yuan yu zhen 主编,科学出版社
大学物理学习指导典型解题,王小力 Wang Xiaoli 编 CAL  n2004172250# jt0yjt0y ec0yec0y,西安交通大学出版社
代数学引论,"科斯特里金 Kesitelijin (Кострикин, Александр Иванович?), 1929-2000 著",高等敎育出版社
弹性力学与张量分析,郭日修 Guo Ri Xiu 编著,高等教育出版社
德川家康,"山冈庄八, Shan Gang Zhuang Ba 1907-1978 著",南海出版社
电工学·电工技术(第五版)下册同步辅导及习题全题,夏应龙 xia ying long 编著,新华出版社
电介质材料及其介电性能,"科埃略,  ke ai lve, R.J. (Coelho, RolandJ.) 著",科学出版社
电力电子和电力拖动控制系统的MATLAB仿真,洪乃刚 编著 Hong Nai Gang,机械工业出版社
电力系统可靠性分析,郭永基 guo yong ji 著,清华大学出版社
电子设计从零开始,杨欣 yang xin 编著,清华大学出版社
断裂理论基础,范天佑 fan tian you  著,科学出版社
放学后,"东野圭吾, dong ye gui wu 1958- 著",南海出版公司
分子热力学,金家骏 编著,科学出版社
复分析,"尼达姆 ni da mu (Needham, Tristan) 著",人民邮电出版社
高等流体力学,刘应中 liu ying zhong 编著,上海交通大学出版社
高等数理统计,茆诗松 mao shi song 编著,高等敎育出版社
高等数学,马菊侠 ma ju xia 主编,国防工业出版社
固体物理,韦丹 wei dan 著,清华大学出版社
国富论,"斯密 si mi (Smith, Adam), 1723-1790 著",武汉大学出版社
国际经济学,克鲁格曼 ke lu ge man P.R. 著,中国人民大学出版社
国民财富的性质与原理,"斯密 si mi (Smith, Adam), 1723-1790 著",中国社会科学出版社
红玫瑰与白玫瑰,"张爱玲, Zhang Ai Ling 1920-1995 著",北京十月文艺出版社
华夏美学,李泽厚 li ze hou 著,天津社会科学院出版社
机械设计基础,陈晓南 chen xiao nan 主编,科学出版社
基于COMSOL Multiphysics的MEMS建模及应用,张玉宝 zhang yu bao 主编,冶金工业出版社
基于MATLAB 7.x的系统分析与设计,楼顺天 lou shun tian 编著,西安电子科技大学出版社
计算方法,李桂成 li gui cheng 编著,电子工业出版社
居里夫人传,"居里, ju li 艾芙 著",北京燕山出版社
空间谱估计理论与算法,"王永良, wang yong liang 1965-  著",清华大学出版社
跨越缺口,"保罗斯,  Bao Luo Si , J. A. (Paulos, John Allen) 著",上海科学技术出版社
老子今注今译,"陈鼓应, chen gu ying 1935-  注译",商务印书馆
两相流与传热研究,陈听宽 chen ting kuan 著,西安交通大学出版社
流体力学,张也影 zhang ye ying 编,高等教育出版社
流体力学,张鸣远 Zhang Ming Yuan 编著,高等教育出版社
流体力学数值方法,章本照 zhang ben zhao 编著,机械工业出版社
美国文化背景,"戴特斯曼 dai te si man (Datesman, Mary Ann) 著",世界图书出版公司
梦的解析;"论梦","弗洛伊德 fu luo yi de (Freud, Sigmund) 1856-1939 著",国际文化出版公司
梦里花落知多少,三毛 san mao 著,北京十月文艺出版社
明朝那些事儿,当年明月 dang nian ming yue 著,中国海关出版社
模糊控制及其MATLAB仿真,石辛民 shi xin min 编著,清华大学出版社;"北京交通大学出版社"
模拟电子技术要点与解题,马积勋 ma ji xun 编著,西安交通大学出版社
纳米CMOS器件,甘学温 gan xue wen 编著,科学出版社
男人的资本全集,李岩 li yan 编著,世界知识出版社
排队论基础,孙荣恒 sun rong heng 著,科学出版社
偏微分方程数值解法,陆金甫 lu jin fu  编著,清华大学出版社
平凡的世界,"路遙, lu yao 1949-1992 著",人民文学出版社
普朗特流体力学基础,"厄特尔, e te er (Oertel, Herbert) 著",科学出版社
青春之歌,"杨沫, yang mo 1914-1995 著",人民文学出版社
全新法语语法,"热纳潘 Re Na Pan (Jennepin, Y. Delatour D.) 编著",上海译文出版社
热力学与统计物理学,"林宗涵, lin zong han 1937-  编著",北京大学出版社
人工神经网络,杨行峻 YANG XING JUN 编,高等敎育出版社
少年维特之烦恼,"歌德 ge de (Goethe, Johann Wolfgang), 1749-1832 著",中国国际广播出版社
神雕侠侣,"金庸, Jin Yong 1924-  著",广州出版社;"花城出版社"
生命科学基础,"陆瑤华, lu yao hua 编著",山东大学出版社
生物信息学方法与实践,张成岗 zhang cheng gang 编著,科学出版社
十一字杀人,"东野圭吾, dong ye gui wu 1958- 著",上海译文出版社
实变函数与泛函分析,郭懋正 guo mao zheng 编著,北京大学出版社
实验设计,刘文卿 liu wen qing 编著,清华大学出版社
实用数学建模与软件应用,肖华勇 xiao hua yong 编著,西北工业大学出版社
试验模态分析,杨景义 编著,北京理工大学
数据分析与科学绘图软件ORIGIN详解,王秀峰 Wang Xiu Feng 编,化学工业出版业
数据结构,殷人昆 yin ren kun 主编,清华大学出版社
数据结构典型题解析及自测试题,赵仲孟 Zhao Zhong Meng 编,西北工业大学出版社
数学建模竞赛,杨启帆 Yang Qi Fan 编,浙江大学出版社
数学模型应用实例,杨桂元 yang gui yuan 编著,合肥工业大学出版社
数学物理方程与特殊函数 (南工第三版) 导教导学导考,张慧清 Zhang Hui Qing 主编,西北工业大学出版社
数学物理方法,黄大奎 Huang Da Kui 编,高等教育出版;"施普林格出版社"
数字信号处理,"普埃克, pu ai ke J. G. (Proakis, John G.) 著",电子工业出版社
算法竞赛入门经典,刘汝佳 liu ru jia 1982- 编著,清华大学出版社
钛合金及应用,张喜燕 Zhang Xi Yan 编著,化学工业出版社
堂吉诃德,"塞万提斯 Saiwantisi (Cervantes Saavedra, Miguel de), 1547-1616 著",人民文学出版社
统计学,贾俊平 jia jun ping 编著,清华大学出版社
图论导引,"沙特朗 sha te lang (Chartrand, Gary) 著",人民邮电出版社
微分几何,彭家贵 peng jia gui 编著,高等教育出版社
微观经济学课程辅导与训练,李广伶 li guang ling 主编,西安交通大学出版社
乌合之众,"勒邦 le bang (Le Bon, Gustave), 1841-1931 著",广西师范大学出版社
吾国与吾民,"林语堂, lin yu tang 1895-1976 著",陕西师范大学出版社
西方哲学史,"斯顿夫 Si Dun Fu (Stumpf, Samuel Enoch), 1918-1998 著",世界图书出版公司
细胞培养,司徒镇强 si tu zhen qiang 主编;"吴军正 wu jun zheng 主编",世界图书出版公司北京公司
夏洛的网,"怀特 Huaite (White, Elwyn Brooks), 1899-1985 著 CAL  n2004488862# jt0yjt0y ec0yec0y",上海译文出版社
现代机械动力学及其工程应用,廖伯瑜 Liao Bo Yu 著,机械工业出版社
现代控制理论,"张嗣瀛, zhang si ying 1925- 编著",清华大学出版社
现代信号处理及工程应用,何正嘉 He Zheng Jia 著,西安交通大学出版社
线性代数,尤承业 you cheng ye 编著,机械工业出版社
小波滤波方法及应用,潘泉 pan quan 著,清华大学出版社
笑傲江湖,"金庸, jin yong 1924- 著",广州出版社
新概念51单片机C语言教程,郭天祥 Guo Tian Xiang 编著,电子工业出版社
信号处理滤波器设计,"卢托瓦茨, lu tuo wa ci M. D. (Lutovac, Miroslav D.) 著",电子工业出版社
学习OpenCV,"布拉德斯基 bu la de si ji (Bradski, Gary) 著",清华大学出版社
学习OpenCV,"布拉德斯基 bu la de si ji (Bradski, Gary) 著",清华大学出版社
雪国;"古都";"千只鹤","川端康成, chuan duan kang cheng 1899-1972 著",译林出版社
一九八四/动物农场,"奥韦尔 Ao Wei Er (Orwell, George), 1903-1950 著",译林出版社
应用随机过程,"罗斯 luo si (Ross, Sheldon M.) 著",人民邮电出版社
有限体积法基础,李人宪 Li Ren Xian 编,国防工业出版社
雨季不再来,"三毛 san mao, 1943-1991 著",北京十月文艺出版社
源氏物语,(日)紫式部 ( ri ) zi shi bu 著,深圳报业集团出版社
再袭面包店,"村上春树, Cun Shang Chun Shu 1949- 著",上海译文出版社
直流无刷电动机原理及应用,张琛 zhang chen  编著,机械工业出版社
智能优化方法,汪定伟 Wang Ding Wei 编著,高等敎育出版社
中国国家地理,"陆大道, lu da dao 1940-  主编",大象出版社
中国历代帝王陵墓之谜,谢洪波 Xie Hong Bo 编著,哈尔滨出版社
最优化方法,解可新 xie ke xin 编,天津大学出版社
,"Poling, Bruce E.",
《结构力学》学习指导及题解大全,包世华 bao shi hua 主编,武汉理工大学出版社
101 摄影范例精析,"威格纳尔 Wei Ge Na Er (Wignall, J.) 著",浙江摄影出版社
20世纪数学经纬,张奠宙 zhang dian zhou 著,华东师范大学出版社
ANSYS 10.0/LS-DYNA基础理论与工程实践,李裕春 li yu chun 编著,中国水利水电出版社
ANSYS 10.0热力学有限元分析实例指导教程,张国智 Zhang Guo Zhi 编著,机械工业出版社
ANSYS 11.0有限元分析入门与提高,胡国良 Hu Guo Liang 编著,国防工业出版社
ANSYS 12.0 LS-DYNA非线性有限元分析从入门到精通,郝好山 hao hao shan 编著,机械工业出版社
ANSYS 13.0/FLOTRAN流场分析从入门到精通,胡仁喜 hu ren xi 编著,机械工业出版社
ANSYS Workbench设计、仿真与优化,李兵 li bing 编著,清华大学出版社
ANSYS工程结构实用案例分析,李卫民 Li Wei Min 编著,化学工业出版社
C++语言程序设计教程,杨进才 yang jin cai 编著,清华大学出版社
C陷阱与缺陷,"凯尼格 kai ni ge (Koenig, Andrew) 著",人民邮电出版社
EViews应用实验教程,任英华 ren ying hua 主编,湖南大学出版社
Fortran 95程序设计,白云 Bai Yun 编著,清华大学出版社
GRE考试官方指南,美国教育考试服务中心 mei guo jiao yu kao shi fu wu zhong xin 编著,群言出版社
GRE写作论证论据素材大全,韦晓亮 wei xiao liang 编著,群言出版社
Intel汇编语言程序设计,"欧文, ou wen (Irvine, Kip R.) 著",电子工业出版社
Little women,"奥尔科特, Ao Er Ke Te L.M. (Alcott, Louisa M.) 1832-1888 著",世界图书出版西安公司
LS-DYNA3D理论基础与实例分析,白金泽 bai jin ze 编著,科学出版社
MATLAB 7.0程序设计快速入门,岂兴明 qi xing ming 编著,人民邮电出版社
MATLAB 7基础教程,"帕姆 pa mu (Palm, William J.) 著",清华大学出版社
MATLAB R2006a基础篇,曹岩 Cao Yan 主编,化学工业出版社
MATLAB函数速查手册,邓薇 deng wei 编著,人民邮电出版社
MATLAB函数速查手册,邓薇 deng wei 编著,人民邮电出版社
MATLAB数学实验与建模,马莉 ma li 编著,清华大学出版社
MATLAB数字信号处理与应用,张德丰 Zhang De Feng 编著,清华大学出版社
MATLAB图像处理与界面编程宝典,秦襄培 qin xiang pei 编著,电子工业出版社
MATLAB图像处理与界面编程宝典,秦襄培 qin xiang pei 编著,电子工业出版社
MATLAB遗传算法工具箱及应用,雷英杰 Lei Ying Jie 编著,西安电子科技大学出版社
MATLAB语言高级编程,张德丰 zhang de feng 编著,机械工业出版社
MATLAB在数学建模中的应用,卓金武 zhuo jin wu 主编,北京航空航天大学出版社
MATLAB在数字信号处理中的应用,薛年喜 xue nian xi 编著,清华大学出版社
MSP430单片机C语言应用程序设计实例精讲,秦龙 qin long 编著,电子工业出版社
Pride and Prejudice,"奥斯汀 ao si ting (Austen, Jane) 著",外文出版社
Python基础教程,"赫特兰 he te lan (Hetland, Magnus Lie) 著",人民邮电出版社
Python学习手册,"卢茨 lu ci (Lutz, Mark) 著",机械工业出版社
Verilog HDL程序设计实例详解,张延伟 zhang yan wei 编著,人民邮电出版社
傲慢与偏见,"奥斯汀 Ao Si Ding (Austen, Jane), 1775-1817 著",上海译文出版社
傲慢与偏见,"奥斯汀 ao si ting (Austen, Jane) 著",陕西人民出版社
半生缘,"张爱玲, zhang ai ling 1920-1995 著",北京十月文艺出版社
边城,"沈从文, shen cong wen 1902-1988 著",长江文艺出版社
病毒,,接力出版社
博弈论与信息经济学,张维迎 zhang wei ying,三联书店上海分店;"上海人民出版社"
材料力学,单辉祖 shan hui zu 编著,高等教育出版社
操作系统概念,"西尔伯莎茨, Xi Er Bo Si Cha Zi A. (Silberschatz, Abraham) 著",高等教育出版社
茶花女,"小仲马 Xiao Zhong Ma (Dumas fils, Alexandre), 1824-1895 著",上海三联书店
抽象代数基础,丘维声 qiu wei sheng 编著,高等敎育出版社
传热和传质基本原理,"英克鲁佩勒 ying ke lu pei le (Incropera, Frank P.) 著",化学工业出版社
大学物理学习辅导,朱峰 Zhu Feng 主编,清华大学出版社
大学英语六级全真题精讲,郑家顺 zheng jia shun 编著,东南大学出版社
点集拓扑讲义,熊金城 Xiong Jin Cheng 编,高等敎育出版社
电工电子学学习指导及题解,袁芳 yuan fang 编,华中科技大学出版社
电工电子学学习指导及题解,袁芳 yuan fang 编,华中科技大学出版社
电工学·电工技术(第五版)上册同步辅导及习题全题,夏应龙 xia ying long 编著,新华出版社
电化学原理,李荻 li di 主编,北京航空航天大学出版社
电化学阻抗谱导论,曹楚南 Cao Chu Nan 著,科学出版社
电机学,阎治安 yan zhi an 编著,西安交通大学出版社
电力系统暂态分析,李光琦 Li Guang Qi 编,中国电力出版社
电子技术(电工学II)学习指导典型题解,王建华 wang jian hua (电工学) 编著,西安交通大学出版社
东京爱情故事,龙震宇 long zhen yu 编著,南方日报社出版社
动物农场,"奥威尔, ao wei er (Orwell, George) 著",上海译文出版社
二级C++语言程序设计教程,高婷 gao ting 主编,中国水利水电出版社
放大电路实用设计手册,段九州 duan jiu zhou 主编,辽宁科学技术出版社
非线性振动系统的分叉和混沌理论,陈予恕 CHEN YU SHU 著,高等敎育出版社
费恩曼物理学讲义,"范曼 fan man (Feynman, Richard P.), 1918-1988 著",上海科学技术出版社
疯狂Java讲义,李刚 li gang 编著,电子工业出版社
浮世绘的故事,宫竹正 Gong Zhu Zheng 著,陕西师范大学出版社
腐蚀电化学原理,曹楚南 Cao Chu Nan 编著,化学工业出版社;"工业装备与信息工程出版中心"
覆分析基础及工程应用,"萨夫 sa fu (Saff, E. B.), 1944-  著",机械工业出版社
概率、随机变量与随机过程,"帕普里斯, pa pu li si A. (Papoulis, Athanasis) 著",西安交通大学出版社
概率论与数理统计复习与考试指导,区兆丞 ou zhao cheng 主编,首都经济贸易大学出版社
概率论与数理统计全程学习指导,王丽燕 Wang Li Yan 编著,大连理工大学出版社
概率论与数理统计学习指导与题解,黄光谷 huang guang gu 编,华中科技大学出版社
高等传热学,贾力 Jia Li 编,高等教育出版社
高等代数,徐仲 xu zhong 编,西北工业大学出版社
高等代数学习指导书,丘维声 qiu wei sheng 编著,清华大学出版社
高等量子力学,"喀兴林, ka xing lin 1929- 著",高等敎育出版社
