题名,作者,出版社
量子力学:导论,"格赖纳, gu lai na W. (Greiner, Walter) 1935- 著",北京大学出版社
数值分析学习辅导·习题解析,李红 Li Hong 著,华中科技大学出版社
孙子兵法,孙武 Sun Wu 著,光明日报出版社
小波分析及其应用,"孙延奎, sun yan kui 1965- 编著",机械工业出版社
小王子,"圣埃克苏佩里 sheng ai ke su pei li (Saint-Exupery, Antoine de), 1900-1944 著",上海译文出版社
信号与系统,郑君里 zheng jun li 编著,高等教育出版社
<<数学模型 (第三版)>>习题参考解答,姜启源 jiang qi yuan 编,高等教育出版社
C++ Primer中文版,"李普曼 li pu man (Lippman, Stanley B.) 著",人民邮电出版社
MATLAB 程序设计与应用,刘卫国 Liu Wei Guo 主编,高等敎育出版社
Origin实用教程(7.5版),周剑平 Zhou Jian Ping 编著,西安交通大学出版社
Origin实用教程(7.5版),周剑平 Zhou Jian Ping 编著,西安交通大学出版社
材料力学重点难点及典型题精解,闵行 min xing 编著,西安交通大学出版社
复变函数与积分变换,哈尔滨工业大学 Ha Er Bin Gong Ye Da Xue 数学系 组编,科学出版社
高等数学复习指南,陈兰祥 chen lan xiang 主编,学苑书店
高等数学中的典型问题与解法,西北工业大学 xi bei gong ye da xue 高等数学敎研室 编,同济大学出版社
固体物理基础,"阎守胜,  Yan Shou Sheng 1938- 编著",北京大学出版社
厚黑学全集,"李宗吾, li zong wu 1879-1943 著",九州出版社
哭泣的骆驼,"三毛, san mao, 1943-1991 著",哈尔滨出版社
数学分析习题课讲义,谢惠民 xie hui min (数学) 编,高等敎育出版社
小说月报第9届百花奖入围作品集,,百花文艺出版社
小王子,"圣埃克苏佩里 sheng ai ke su pei li (Saint-Exupery, Antoine de), 1900-1944 著",上海译文出版社
有机化学典型题解析及自测试题,管萍 Guan Ping 编,西北工业大学出版社
有机化学例题与习题,裴伟伟 pei wei wei 编,高等敎育出版社
竹取物语,佚名氏 Yi Ming Shi 著,云南人民出版社
自动控制原理,张爱民 zhang ai min 编著,清华大学出版社
《电磁场与电磁波》(第3版)教学指导书,赵家升 zhao jia sheng 编写,高等教育出版社
<<工程电磁场导论>>习题详解,王仲奕 wang zhong yi 编,西安交通大学出版社
大学物理习题集,刘宏清 liu hong qing 主编,科学技术文献出版社
大学物理习题解析,焦兆焕 jiao zhao huan 编,西安交通大学出版社
电磁学千题解,张之翔 zhang zhi xiang  编著,科学出版社
高等数学学习辅导,张利凯 zhang li kai 主编,科学技术文献出版社
高等数学中的典型问题与解法,西北工业大学 xi bei gong ye da xue 高等数学敎研室 编,同济大学出版社
鬼车,郑渊洁 Zheng Yuan Jie 著,学苑出版社
国富论,"斯密 si mi (Smith, Adam), 1723-1790 著",上海三联书店
红楼梦,曹雪芹 著,人民文学出版社
激荡三十年,"吴晓波, wu xiao bo 1968-  著",中信出版社
计算方法典型例题分析,孙志忠 Sun Zhi Zhong 编著,科学出版社
计算方法学习指导,陈延梅 chen yan mei 编,科学出版社
乐理教程,张巍 Zhang Wei 编著,武汉测绘科技大学出版社
明朝那些事儿,当年明月 dang nian ming yue 著,中国友谊出版公司
挪威的森林,"村上春树 cun shang chun shu (Murakami Haruki), 1949- 著",上海译文出版社
平凡的世界,"路遥, lu yao 1949-1992 著",人民文学出版社
