题名,作者,出版社
ANSYS 10.0工程电磁分析技术与实例详解,阎照文,中国水利水电出版社
白鹿原,陈忠实,人民文学出版社
常微分方程习题解,庄万,山东科学技术出版社
传热学,皮茨,"科学出版社;""麦格劳-希尔教育出版集团"""
从一到无穷大,盖莫,科学出版社
大学物理题典,胡盘新,上海交通大学出版社
高等数学习题课30讲,徐兵,北京航空航天大学出版社
尼罗河上的惨案,克里斯蒂,人民文学出版社
神经网络模型及其MATLAB仿真程序设计,周开利,清华大学出版社
时间简史,霍金,湖南科学技术出版社
数字电子技术基础学习与解题指南,陈大钦,华中科技大学出版社
线性代数(同济·第三版)导教·导学·导考,陆全,西北工业大学出版社
新概念物理教程,赵凯华,高等教育出版社
羊皮卷,曼迪诺,世界知识出版社
有限元法基础与程序设计,李亚智,科学出版社
战争序幕,埃尔森,"中国社会科学出版社;""海南出版社"""
最优化原理与方法,薛毅,北京工业大学出版社
<<线性代数>>复习指导,胡金德,国家行政学院出版社
ANSYS热分析教程与实例解析,张朝晖,中国铁道出版社
C Primer Plus (第四版) 中文版,普拉塔,人民邮电出版社
Fortran 90编程基础,林晓彤,中国海洋大学出版社
MATLAB 7.0基础教程,孙祥,清华大学出版社
变分法基础,老大中,国防工业出版社
科学计算强档Mathematica 4教程,丁大正,电子工业出版社
理论力学习题详解,赵诒枢,华中科技大学出版社
量子力学教程习题剖析,孙婷雅,科学出版社
人性的弱点,卡耐基,中华工商文联合出版社
数学建模基础,王兵团,"清华大学出版社;""北方交通大学出版社"""
数学建模实验,周义仓,西安交通大学出版社
数学物理方法,胡嗣柱,高等教育出版社
数值分析及其MATLAB实验,姜健飞,科学出版社
物理学第四版习题分析与解答,马文蔚,高等敎育出版社
心理学导论,库恩,中国轻工业出版社
Java编程思想,埃克尔,机械工业出版社
MATLAB实用教程,苏金明,电子工业出版社
TMS320F2812原理与开发,苏奎峰,电子工业出版社
春,巴金,人民文学出版社
复变函数与积分变换,李红,高等敎育出版社
高等数学习题集,陶伟,国家行政学院出版社
工科数学分析基础教学辅导书,武忠祥,高等敎育出版社
固体物理基础,阎守胜,北京大学出版社
理论力学学习指导与典型题精解,沈火明,西南交通大学出版社
两相流与沸腾传热,鲁钟琪,清华大学出版社
平凡的世界,路遥,北京十月文艺出版社
实用英语口语技巧,刘敏,华文出版社
数学分析中的典型问题与方法,裴礼文,高等敎育出版社
数学模型讲义,雷功炎,北京大学出版社
数学试题精选与答题技巧,富景隆,哈尔滨工业大学出版社
数学物理方法,陆全康,高等敎育出版社
斯泰尔斯庄园奇案,克里斯蒂,人民文学出版社
西方哲学简史,赵敦华,北京大学出版社
线性代数辅导,胡金德,清华大学出版社
线性代数学习指导,樊恽,科学出版社
《电磁场与电磁波》教学指导书,杨儒贵,高等教育出版社
ANSYS 8.0热分析教程与实例解析,张朝晖,中国铁道出版社
MATLAB神经网络30个案例分析,MATLAB中文论坛,北京航空航天大学出版社
SPSS宝典,张红兵,电子工业出版社
高等数学经典习题及详解,韩松,机械工业出版社
高等数学竞赛与提高,毛京中,北京理工大学出版社
古今数学思想,克莱因,上海科学技术出版社
计算方法典型题分析解集,封建湖,西北工业大学出版社
经济学原理,曼昆,机械工业出版社
精通Matlab 7,汉泽尔曼,清华大学出版社
理论力学学习与考研指导,程靳,科学出版社
量子力学,曾谨言,
